Description,ensembl_id,entrez_id,gene_biotype,Type
C4orf33,ENSG00000151470,132321,protein_coding,target
PCDH10,ENSG00000138650,57575,protein_coding,target
PABPC4L,ENSG00000254535,132430,protein_coding,target
PCDH18,ENSG00000189184,54510,protein_coding,target
SLC7A11,ENSG00000151012,23657,protein_coding,target
NOCT,ENSG00000151014,25819,protein_coding,target
ELF2,ENSG00000109381,1998,protein_coding,target
MGARP,ENSG00000137463,84709,protein_coding,target
NDUFC1,ENSG00000109390,4717,protein_coding,target
NAA15,ENSG00000164134,80155,protein_coding,target
RAB33B,ENSG00000172007,83452,protein_coding,target
SETD7,ENSG00000145391,80854,protein_coding,target
MGST2,ENSG00000085871,4258,protein_coding,target
MAML3,ENSG00000196782,55534,protein_coding,target
SCOC,ENSG00000153130,60592,protein_coding,target
CLGN,ENSG00000153132,1047,protein_coding,target
MGAT4D,ENSG00000205301,152586,protein_coding,target
ELMOD2,ENSG00000179387,255520,protein_coding,target
UCP1,ENSG00000109424,7350,protein_coding,target
TBC1D9,ENSG00000109436,23158,protein_coding,target
RNF150,ENSG00000170153,57484,protein_coding,target
ZNF330,ENSG00000109445,27309,protein_coding,target
IL15,ENSG00000164136,3600,protein_coding,target
INPP4B,ENSG00000109452,8821,protein_coding,landmark
USP38,ENSG00000170185,84640,protein_coding,target
GAB1,ENSG00000109458,2549,protein_coding,target
SMARCA5,ENSG00000153147,8467,protein_coding,target
FREM3,ENSG00000183090,166752,protein_coding,target
GYPE,ENSG00000197465,2996,protein_coding,target
GYPB,ENSG00000250361,2994,protein_coding,target
GYPA,ENSG00000170180,2993,protein_coding,target
HHIP,ENSG00000164161,64399,protein_coding,target
ANAPC10,ENSG00000164162,10393,protein_coding,target
ABCE1,ENSG00000164163,6059,protein_coding,target
OTUD4,ENSG00000164164,54726,protein_coding,target
SMAD1,ENSG00000170365,4086,protein_coding,target
MMAA,ENSG00000151611,166785,protein_coding,target
C4orf51,ENSG00000237136,646603,protein_coding,target
ZNF827,ENSG00000151612,152485,protein_coding,target
LSM6,ENSG00000164167,11157,protein_coding,landmark
RP11-6L6.2,ENSG00000250673,345051,protein_coding,target
SLC10A7,ENSG00000120519,84068,protein_coding,target
POU4F2,ENSG00000151615,5458,protein_coding,target
TTC29,ENSG00000137473,83894,protein_coding,target
EDNRA,ENSG00000151617,1909,protein_coding,target
TMEM184C,ENSG00000164168,55751,protein_coding,target
PRMT9,ENSG00000164169,90826,protein_coding,target
ARHGAP10,ENSG00000071205,79658,protein_coding,target
NR3C2,ENSG00000151623,4306,protein_coding,target
RP11-526A4.1,ENSG00000234828,285423,protein_coding,target
DCLK2,ENSG00000170390,166614,protein_coding,target
LRBA,ENSG00000198589,987,protein_coding,target
MAB21L2,ENSG00000181541,10586,protein_coding,target
RPS3A,ENSG00000145425,6189,protein_coding,target
SH3D19,ENSG00000109686,152503,protein_coding,target
PRSS48,ENSG00000189099,345062,protein_coding,target
FAM160A1,ENSG00000164142,729830,protein_coding,target
GATB,ENSG00000059691,5188,protein_coding,target
FBXW7,ENSG00000109670,55294,protein_coding,target
TMEM154,ENSG00000170006,201799,protein_coding,target
TIGD4,ENSG00000169989,201798,protein_coding,target
ARFIP1,ENSG00000164144,27236,protein_coding,target
FHDC1,ENSG00000137460,85462,protein_coding,target
TRIM2,ENSG00000109654,23321,protein_coding,landmark
MND1,ENSG00000121211,84057,protein_coding,target
KIAA0922,ENSG00000121210,23240,protein_coding,target
TLR2,ENSG00000137462,7097,protein_coding,target
RNF175,ENSG00000145428,285533,protein_coding,target
SFRP2,ENSG00000145423,6423,protein_coding,target
DCHS2,ENSG00000197410,54798,protein_coding,target
PLRG1,ENSG00000171566,5356,protein_coding,target
FGB,ENSG00000171564,2244,protein_coding,target
FGA,ENSG00000171560,2243,protein_coding,target
FGG,ENSG00000171557,2266,protein_coding,target
LRAT,ENSG00000121207,9227,protein_coding,target
RBM46,ENSG00000151962,166863,protein_coding,target
NPY2R,ENSG00000185149,4887,protein_coding,target
MAP9,ENSG00000164114,79884,protein_coding,target
GUCY1A3,ENSG00000164116,2982,protein_coding,target
GUCY1B3,ENSG00000061918,2983,protein_coding,target
ASIC5,ENSG00000256394,51802,protein_coding,target
TDO2,ENSG00000151790,6999,protein_coding,target
CTSO,ENSG00000256043,1519,protein_coding,target
PDGFC,ENSG00000145431,56034,protein_coding,target
GLRB,ENSG00000109738,2743,protein_coding,target
GRIA2,ENSG00000120251,2891,protein_coding,target
FAM198B,ENSG00000164125,51313,protein_coding,target
TMEM144,ENSG00000164124,55314,protein_coding,target
RXFP1,ENSG00000171509,59350,protein_coding,target
C4orf46,ENSG00000205208,201725,protein_coding,target
ETFDH,ENSG00000171503,2110,protein_coding,target
PPID,ENSG00000171497,5481,protein_coding,target
FNIP2,ENSG00000052795,57600,protein_coding,target
C4orf45,ENSG00000164123,152940,protein_coding,target
RAPGEF2,ENSG00000109756,9693,protein_coding,target
FSTL5,ENSG00000168843,56884,protein_coding,target
NAF1,ENSG00000145414,92345,protein_coding,target
NPY1R,ENSG00000164128,4886,protein_coding,target
NPY5R,ENSG00000164129,4889,protein_coding,target
TKTL2,ENSG00000151005,84076,protein_coding,target
TMA16,ENSG00000198498,55319,protein_coding,target
MARCH1,ENSG00000145416,55016,protein_coding,target
LINC01207,ENSG00000248771,100505989,protein_coding,target
APELA,ENSG00000248329,100506013,protein_coding,target
TRIM61,ENSG00000183439,391712,protein_coding,target
TRIM60,ENSG00000176979,166655,protein_coding,target
TMEM192,ENSG00000170088,201931,protein_coding,target
KLHL2,ENSG00000109466,11275,protein_coding,target
GK3P,ENSG00000229894,2713,protein_coding,target
MSMO1,ENSG00000052802,6307,protein_coding,target
CPE,ENSG00000109472,1363,protein_coding,target
TLL1,ENSG00000038295,7092,protein_coding,target
SPOCK3,ENSG00000196104,50859,protein_coding,target
ANXA10,ENSG00000109511,11199,protein_coding,target
DDX60,ENSG00000137628,55601,protein_coding,target
DDX60L,ENSG00000181381,91351,protein_coding,target
PALLD,ENSG00000129116,23022,protein_coding,target
CBR4,ENSG00000145439,84869,protein_coding,target
SH3RF1,ENSG00000154447,57630,protein_coding,target
NEK1,ENSG00000137601,4750,protein_coding,target
CLCN3,ENSG00000109572,1182,protein_coding,target
HPF1,ENSG00000056050,54969,protein_coding,target
MFAP3L,ENSG00000198948,9848,protein_coding,target
AADAT,ENSG00000109576,51166,protein_coding,target
GALNTL6,ENSG00000174473,442117,protein_coding,target
GALNT7,ENSG00000109586,51809,protein_coding,target
HMGB2,ENSG00000164104,3148,protein_coding,target
SAP30,ENSG00000164105,8819,protein_coding,target
SCRG1,ENSG00000164106,11341,protein_coding,target
HAND2,ENSG00000164107,9464,protein_coding,target
FBXO8,ENSG00000164117,26269,protein_coding,target
CEP44,ENSG00000164118,80817,protein_coding,target
HPGD,ENSG00000164120,3248,protein_coding,target
GLRA3,ENSG00000145451,8001,protein_coding,target
ADAM29,ENSG00000168594,11086,protein_coding,target
GPM6A,ENSG00000150625,2823,protein_coding,target
WDR17,ENSG00000150627,116966,protein_coding,target
SPATA4,ENSG00000150628,132851,protein_coding,target
ASB5,ENSG00000164122,140458,protein_coding,target
SPCS3,ENSG00000129128,60559,protein_coding,target
VEGFC,ENSG00000150630,7424,protein_coding,target
NEIL3,ENSG00000109674,55247,protein_coding,target
AGA,ENSG00000038002,175,protein_coding,target
TENM3,ENSG00000218336,55714,protein_coding,target
DCTD,ENSG00000129187,1635,protein_coding,landmark
WWC2,ENSG00000151718,80014,protein_coding,target
CLDN24,ENSG00000185758,100132463,protein_coding,target
CDKN2AIP,ENSG00000168564,55602,protein_coding,target
ING2,ENSG00000168556,3622,protein_coding,target
RWDD4,ENSG00000182552,201965,protein_coding,target
TRAPPC11,ENSG00000168538,60684,protein_coding,target
STOX2,ENSG00000173320,56977,protein_coding,target
ENPP6,ENSG00000164303,133121,protein_coding,target
IRF2,ENSG00000168310,3660,protein_coding,target
CASP3,ENSG00000164305,836,protein_coding,landmark
PRIMPOL,ENSG00000164306,201973,protein_coding,target
CENPU,ENSG00000151725,79682,protein_coding,target
ACSL1,ENSG00000151726,2180,protein_coding,target
HELT,ENSG00000187821,391723,protein_coding,target
SLC25A4,ENSG00000151729,291,protein_coding,landmark
CFAP97,ENSG00000164323,57587,protein_coding,target
SNX25,ENSG00000109762,83891,protein_coding,target
LRP2BP,ENSG00000109771,55805,protein_coding,target
ANKRD37,ENSG00000186352,353322,protein_coding,target
UFSP2,ENSG00000109775,55325,protein_coding,target
C4orf47,ENSG00000205129,441054,protein_coding,target
CCDC110,ENSG00000168491,256309,protein_coding,target
PDLIM3,ENSG00000154553,27295,protein_coding,target
SORBS2,ENSG00000154556,8470,protein_coding,target
TLR3,ENSG00000164342,7098,protein_coding,target
FAM149A,ENSG00000109794,25854,protein_coding,target
CYP4V2,ENSG00000145476,285440,protein_coding,target
KLKB1,ENSG00000164344,3818,protein_coding,target
F11,ENSG00000088926,2160,protein_coding,target
MTNR1A,ENSG00000168412,4543,protein_coding,target
FAT1,ENSG00000083857,2195,protein_coding,landmark
ZFP42,ENSG00000179059,132625,protein_coding,target
TRIML2,ENSG00000179046,205860,protein_coding,target
TRIML1,ENSG00000184108,339976,protein_coding,target
FRG1,ENSG00000109536,2483,protein_coding,target
FRG2,ENSG00000205097,448831,protein_coding,target
PLEKHG4B,ENSG00000153404,153478,protein_coding,target
LRRC14B,ENSG00000185028,389257,protein_coding,target
CCDC127,ENSG00000164366,133957,protein_coding,target
SDHA,ENSG00000073578,6389,protein_coding,target
PDCD6,ENSG00000249915,10016,protein_coding,target
EXOC3,ENSG00000180104,11336,protein_coding,target
SLC9A3,ENSG00000066230,6550,protein_coding,target
CEP72,ENSG00000112877,55722,protein_coding,target
TPPP,ENSG00000171368,11076,protein_coding,target
ZDHHC11B,ENSG00000206077,653082,protein_coding,target
ZDHHC11,ENSG00000188818,79844,protein_coding,target
BRD9,ENSG00000028310,65980,protein_coding,target
TRIP13,ENSG00000071539,9319,protein_coding,target
NKD2,ENSG00000145506,85409,protein_coding,target
SLC12A7,ENSG00000113504,10723,protein_coding,target
SLC6A19,ENSG00000174358,340024,protein_coding,target
SLC6A18,ENSG00000164363,348932,protein_coding,target
TERT,ENSG00000164362,7015,protein_coding,landmark
CLPTM1L,ENSG00000049656,81037,protein_coding,target
SLC6A3,ENSG00000142319,6531,protein_coding,target
LPCAT1,ENSG00000153395,79888,protein_coding,target
MRPL36,ENSG00000171421,64979,protein_coding,target
NDUFS6,ENSG00000145494,4726,protein_coding,target
IRX4,ENSG00000113430,50805,protein_coding,target
IRX2,ENSG00000170561,153572,protein_coding,target
IRX1,ENSG00000170549,79192,protein_coding,target
ADAMTS16,ENSG00000145536,170690,protein_coding,target
ICE1,ENSG00000164151,23379,protein_coding,target
MED10,ENSG00000133398,84246,protein_coding,target
UBE2QL1,ENSG00000215218,134111,protein_coding,target
NSUN2,ENSG00000037474,54888,protein_coding,target
SRD5A1,ENSG00000145545,6715,protein_coding,target
PAPD7,ENSG00000112941,11044,protein_coding,landmark
ADCY2,ENSG00000078295,108,protein_coding,target
C5orf49,ENSG00000215217,134121,protein_coding,target
MTRR,ENSG00000124275,4552,protein_coding,target
FASTKD3,ENSG00000124279,79072,protein_coding,target
SEMA5A,ENSG00000112902,9037,protein_coding,target
TAS2R1,ENSG00000169777,50834,protein_coding,target
FAM173B,ENSG00000150756,134145,protein_coding,target
CCT5,ENSG00000150753,22948,protein_coding,target
CMBL,ENSG00000164237,134147,protein_coding,target
MARCH6,ENSG00000145495,10299,protein_coding,target
ROPN1L,ENSG00000145491,83853,protein_coding,target
ANKRD33B,ENSG00000164236,651746,protein_coding,target
DAP,ENSG00000112977,1611,protein_coding,target
CTNND2,ENSG00000169862,1501,protein_coding,target
DNAH5,ENSG00000039139,1767,protein_coding,target
TRIO,ENSG00000038382,7204,protein_coding,target
FAM105A,ENSG00000145569,54491,protein_coding,target
OTULIN,ENSG00000154124,90268,protein_coding,target
ANKH,ENSG00000154122,56172,protein_coding,target
FBXL7,ENSG00000183580,23194,protein_coding,target
MARCH11,ENSG00000183654,441061,protein_coding,target
ZNF622,ENSG00000173545,90441,protein_coding,target
FAM134B,ENSG00000154153,54463,protein_coding,target
MYO10,ENSG00000145555,4651,protein_coding,landmark
BASP1,ENSG00000176788,10409,protein_coding,target
LINC02218,ENSG00000249662,102723526,protein_coding,target
RP11-432M8.17,ENSG00000269466,391769,protein_coding,target
CDH18,ENSG00000145526,1016,protein_coding,target
CDH12,ENSG00000154162,1010,protein_coding,target
PRDM9,ENSG00000164256,56979,protein_coding,target
CDH10,ENSG00000040731,1008,protein_coding,target
CDH9,ENSG00000113100,1007,protein_coding,target
CDH6,ENSG00000113361,1004,protein_coding,target
DROSHA,ENSG00000113360,29102,protein_coding,target
C5orf22,ENSG00000082213,55322,protein_coding,target
PDZD2,ENSG00000133401,23037,protein_coding,target
GOLPH3,ENSG00000113384,64083,protein_coding,target
MTMR12,ENSG00000150712,54545,protein_coding,target
ZFR,ENSG00000056097,51663,protein_coding,target
SUB1,ENSG00000113387,10923,protein_coding,target
NPR3,ENSG00000113389,4883,protein_coding,target
TARS,ENSG00000113407,6897,protein_coding,target
ADAMTS12,ENSG00000151388,81792,protein_coding,target
RXFP3,ENSG00000182631,51289,protein_coding,target
SLC45A2,ENSG00000164175,51151,protein_coding,target
AMACR,ENSG00000242110,23600,protein_coding,target
C1QTNF3,ENSG00000082196,114899,protein_coding,target
RAI14,ENSG00000039560,26064,protein_coding,landmark
TTC23L,ENSG00000205838,153657,protein_coding,target
RAD1,ENSG00000113456,5810,protein_coding,target
BRIX1,ENSG00000113460,55299,protein_coding,target
DNAJC21,ENSG00000168724,134218,protein_coding,target
AGXT2,ENSG00000113492,64902,protein_coding,target
PRLR,ENSG00000113494,5618,protein_coding,target
SPEF2,ENSG00000152582,79925,protein_coding,target
IL7R,ENSG00000168685,3575,protein_coding,target
CAPSL,ENSG00000152611,133690,protein_coding,target
UGT3A1,ENSG00000145626,133688,protein_coding,target
UGT3A2,ENSG00000168671,167127,protein_coding,target
LMBRD2,ENSG00000164187,92255,protein_coding,target
SKP2,ENSG00000145604,6502,protein_coding,target
NADK2,ENSG00000152620,133686,protein_coding,target
RANBP3L,ENSG00000164188,202151,protein_coding,target
SLC1A3,ENSG00000079215,6507,protein_coding,target
NIPBL,ENSG00000164190,25836,protein_coding,target
C5orf42,ENSG00000197603,65250,protein_coding,target
NUP155,ENSG00000113569,9631,protein_coding,target
WDR70,ENSG00000082068,55100,protein_coding,target
GDNF,ENSG00000168621,2668,protein_coding,target
EGFLAM,ENSG00000164318,133584,protein_coding,target
LIFR,ENSG00000113594,3977,protein_coding,target
OSMR,ENSG00000145623,9180,protein_coding,target
RICTOR,ENSG00000164327,253260,protein_coding,target
FYB,ENSG00000082074,2533,protein_coding,target
C9,ENSG00000113600,735,protein_coding,target
DAB2,ENSG00000153071,1601,protein_coding,target
TTC33,ENSG00000113638,23548,protein_coding,target
PTGER4,ENSG00000171522,5734,protein_coding,target
PRKAA1,ENSG00000132356,5562,protein_coding,target
RPL37,ENSG00000145592,6167,protein_coding,target
CARD6,ENSG00000132357,84674,protein_coding,target
C7,ENSG00000112936,730,protein_coding,target
MROH2B,ENSG00000171495,133558,protein_coding,target
C6,ENSG00000039537,729,protein_coding,target
PLCXD3,ENSG00000182836,345557,protein_coding,target
OXCT1,ENSG00000083720,5019,protein_coding,landmark
C5orf51,ENSG00000205765,285636,protein_coding,target
FBXO4,ENSG00000151876,26272,protein_coding,target
GHR,ENSG00000112964,2690,protein_coding,landmark
CCDC152,ENSG00000198865,100129792,protein_coding,target
SELENOP,ENSG00000250722,6414,protein_coding,target
ANXA2R,ENSG00000177721,389289,protein_coding,target
ZNF131,ENSG00000172262,7690,protein_coding,landmark
NIM1K,ENSG00000177453,167359,protein_coding,target
HMGCS1,ENSG00000112972,3157,protein_coding,landmark
CCL28,ENSG00000151882,56477,protein_coding,target
TMEM267,ENSG00000151881,64417,protein_coding,target
C5orf34,ENSG00000172244,375444,protein_coding,target
PAIP1,ENSG00000172239,10605,protein_coding,target
NNT,ENSG00000112992,23530,protein_coding,landmark
FGF10,ENSG00000070193,2255,protein_coding,target
MRPS30,ENSG00000112996,10884,protein_coding,target
HCN1,ENSG00000164588,348980,protein_coding,target
EMB,ENSG00000170571,133418,protein_coding,target
PARP8,ENSG00000151883,79668,protein_coding,target
ISL1,ENSG00000016082,3670,protein_coding,target
ITGA1,ENSG00000213949,3672,protein_coding,target
PELO,ENSG00000152684,53918,protein_coding,target
ITGA2,ENSG00000164171,3673,protein_coding,target
MOCS2,ENSG00000164172,4338,protein_coding,target
FST,ENSG00000134363,10468,protein_coding,target
NDUFS4,ENSG00000164258,4724,protein_coding,target
ARL15,ENSG00000185305,54622,protein_coding,target
HSPB3,ENSG00000169271,8988,protein_coding,target
SNX18,ENSG00000178996,112574,protein_coding,target
ESM1,ENSG00000164283,11082,protein_coding,target
GZMK,ENSG00000113088,3003,protein_coding,target
GZMA,ENSG00000145649,3001,protein_coding,target
CDC20B,ENSG00000164287,166979,protein_coding,target
GPX8,ENSG00000164294,493869,protein_coding,target
MCIDAS,ENSG00000234602,345643,protein_coding,target
CCNO,ENSG00000152669,10309,protein_coding,target
DHX29,ENSG00000067248,54505,protein_coding,landmark
SKIV2L2,ENSG00000039123,23517,protein_coding,target
PLPP1,ENSG00000067113,8611,protein_coding,target
SLC38A9,ENSG00000177058,153129,protein_coding,target
DDX4,ENSG00000152670,54514,protein_coding,target
IL31RA,ENSG00000164509,133396,protein_coding,target
IL6ST,ENSG00000134352,3572,protein_coding,target
ANKRD55,ENSG00000164512,79722,protein_coding,target
MAP3K1,ENSG00000095015,4214,protein_coding,target
SETD9,ENSG00000155542,133383,protein_coding,target
MIER3,ENSG00000155545,166968,protein_coding,target
GPBP1,ENSG00000062194,65056,protein_coding,target
ACTBL2,ENSG00000169067,345651,protein_coding,target
PLK2,ENSG00000145632,10769,protein_coding,target
GAPT,ENSG00000175857,202309,protein_coding,target
RAB3C,ENSG00000152932,115827,protein_coding,target
PDE4D,ENSG00000113448,5144,protein_coding,target
DEPDC1B,ENSG00000035499,55789,protein_coding,target
ELOVL7,ENSG00000164181,79993,protein_coding,target
ERCC8,ENSG00000049167,1161,protein_coding,target
NDUFAF2,ENSG00000164182,91942,protein_coding,target
SMIM15,ENSG00000188725,643155,protein_coding,target
ZSWIM6,ENSG00000130449,57688,protein_coding,target
KIF2A,ENSG00000068796,3796,protein_coding,target
DIMT1,ENSG00000086189,27292,protein_coding,target
IPO11,ENSG00000086200,51194,protein_coding,target
LRRC70,ENSG00000186105,100130733,protein_coding,target
HTR1A,ENSG00000178394,3350,protein_coding,target
RNF180,ENSG00000164197,285671,protein_coding,target
RGS7BP,ENSG00000186479,401190,protein_coding,target
FAM159B,ENSG00000145642,100132916,protein_coding,target
SREK1IP1,ENSG00000153006,285672,protein_coding,target
CWC27,ENSG00000153015,10283,protein_coding,target
ADAMTS6,ENSG00000049192,11174,protein_coding,target
CENPK,ENSG00000123219,64105,protein_coding,target
PPWD1,ENSG00000113593,23398,protein_coding,target
TRIM23,ENSG00000113595,373,protein_coding,target
TRAPPC13,ENSG00000113597,80006,protein_coding,target
CTC-534A2.2,ENSG00000253251,80006,protein_coding,target
SGTB,ENSG00000197860,54557,protein_coding,target
NLN,ENSG00000123213,57486,protein_coding,target
ERBIN,ENSG00000112851,55914,protein_coding,target
SREK1,ENSG00000153914,140890,protein_coding,target
MAST4,ENSG00000069020,375449,protein_coding,target
CD180,ENSG00000134061,4064,protein_coding,target
PIK3R1,ENSG00000145675,5295,protein_coding,target
SLC30A5,ENSG00000145740,64924,protein_coding,target
CCNB1,ENSG00000134057,891,protein_coding,landmark
CENPH,ENSG00000153044,64946,protein_coding,target
MRPS36,ENSG00000134056,92259,protein_coding,target
CDK7,ENSG00000134058,1022,protein_coding,landmark
CCDC125,ENSG00000183323,202243,protein_coding,target
AK6,ENSG00000085231,102157402,protein_coding,target
RAD17,ENSG00000152942,5884,protein_coding,target
MARVELD2,ENSG00000152939,153562,protein_coding,target
OCLN,ENSG00000197822,100506658,protein_coding,target
GTF2H2C,ENSG00000183474,728340,protein_coding,target
SERF1B,ENSG00000205572,8293,protein_coding,target
SMN2,ENSG00000205571,6606,protein_coding,target
SERF1A,ENSG00000172058,8293,protein_coding,target
SMN1,ENSG00000172062,6606,protein_coding,target
NAIP,ENSG00000249437,4671,protein_coding,target
GTF2H2,ENSG00000145736,2966,protein_coding,target
BDP1,ENSG00000145734,55814,protein_coding,target
MCCC2,ENSG00000131844,64087,protein_coding,target
CARTPT,ENSG00000164326,9607,protein_coding,target
MAP1B,ENSG00000131711,4131,protein_coding,target
MRPS27,ENSG00000113048,23107,protein_coding,target
PTCD2,ENSG00000049883,79810,protein_coding,target
ZNF366,ENSG00000178175,167465,protein_coding,target
TNPO1,ENSG00000083312,3842,protein_coding,target
FCHO2,ENSG00000157107,115548,protein_coding,target
TMEM171,ENSG00000157111,134285,protein_coding,target
TMEM174,ENSG00000164325,134288,protein_coding,target
FOXD1,ENSG00000251493,2297,protein_coding,target
BTF3,ENSG00000145741,689,protein_coding,target
ANKRA2,ENSG00000164331,57763,protein_coding,target
UTP15,ENSG00000164338,84135,protein_coding,target
ARHGEF28,ENSG00000214944,64283,protein_coding,target
ENC1,ENSG00000171617,8507,protein_coding,target
HEXB,ENSG00000049860,3074,protein_coding,target
GFM2,ENSG00000164347,84340,protein_coding,target
NSA2,ENSG00000164346,10412,protein_coding,target
FAM169A,ENSG00000198780,26049,protein_coding,target
GCNT4,ENSG00000176928,51301,protein_coding,target
ANKRD31,ENSG00000145700,256006,protein_coding,target
HMGCR,ENSG00000113161,3156,protein_coding,landmark
COL4A3BP,ENSG00000113163,10087,protein_coding,target
POLK,ENSG00000122008,51426,protein_coding,target
ANKDD1B,ENSG00000189045,728780,protein_coding,target
POC5,ENSG00000152359,134359,protein_coding,target
SV2C,ENSG00000122012,22987,protein_coding,target
IQGAP2,ENSG00000145703,10788,protein_coding,target
F2RL2,ENSG00000164220,2151,protein_coding,target
F2R,ENSG00000181104,2149,protein_coding,target
F2RL1,ENSG00000164251,2150,protein_coding,target
S100Z,ENSG00000171643,170591,protein_coding,target
CRHBP,ENSG00000145708,1393,protein_coding,target
AGGF1,ENSG00000164252,55109,protein_coding,target
ZBED3,ENSG00000132846,84327,protein_coding,target
PDE8B,ENSG00000113231,8622,protein_coding,target
WDR41,ENSG00000164253,55255,protein_coding,target
OTP,ENSG00000171540,23440,protein_coding,target
TBCA,ENSG00000171530,6902,protein_coding,target
AP3B1,ENSG00000132842,8546,protein_coding,target
SCAMP1,ENSG00000085365,9522,protein_coding,target
LHFPL2,ENSG00000145685,10184,protein_coding,target
ARSB,ENSG00000113273,411,protein_coding,target
DMGDH,ENSG00000132837,29958,protein_coding,target
BHMT2,ENSG00000132840,23743,protein_coding,target
BHMT,ENSG00000145692,635,protein_coding,target
JMY,ENSG00000152409,133746,protein_coding,target
HOMER1,ENSG00000152413,9456,protein_coding,target
PAPD4,ENSG00000164329,167153,protein_coding,target
CMYA5,ENSG00000164309,202333,protein_coding,target
MTX3,ENSG00000177034,345778,protein_coding,target
THBS4,ENSG00000113296,7060,protein_coding,target
SERINC5,ENSG00000164300,256987,protein_coding,target
SPZ1,ENSG00000164299,84654,protein_coding,target
ZFYVE16,ENSG00000039319,9765,protein_coding,target
FAM151B,ENSG00000152380,167555,protein_coding,target
ANKRD34B,ENSG00000189127,340120,protein_coding,target
DHFR,ENSG00000228716,1719,protein_coding,target
MSH3,ENSG00000113318,4437,protein_coding,target
RASGRF2,ENSG00000113319,5924,protein_coding,target
CKMT2,ENSG00000131730,1160,protein_coding,target
ZCCHC9,ENSG00000131732,84240,protein_coding,target
ACOT12,ENSG00000172497,134526,protein_coding,target
SSBP2,ENSG00000145687,23635,protein_coding,landmark
ATG10,ENSG00000152348,83734,protein_coding,target
RPS23,ENSG00000186468,6228,protein_coding,target
TMEM167A,ENSG00000174695,153339,protein_coding,target
XRCC4,ENSG00000152422,7518,protein_coding,target
VCAN,ENSG00000038427,1462,protein_coding,target
HAPLN1,ENSG00000145681,1404,protein_coding,target
EDIL3,ENSG00000164176,10085,protein_coding,target
COX7C,ENSG00000127184,1350,protein_coding,target
RASA1,ENSG00000145715,5921,protein_coding,landmark
CCNH,ENSG00000134480,902,protein_coding,landmark
TMEM161B,ENSG00000164180,153396,protein_coding,target
MEF2C,ENSG00000081189,4208,protein_coding,landmark
CETN3,ENSG00000153140,1070,protein_coding,landmark
MBLAC2,ENSG00000176055,153364,protein_coding,target
POLR3G,ENSG00000113356,10622,protein_coding,target
LYSMD3,ENSG00000176018,116068,protein_coding,target
ADGRV1,ENSG00000164199,84059,protein_coding,target
ARRDC3,ENSG00000113369,57561,protein_coding,target
NR2F1,ENSG00000175745,7025,protein_coding,target
FAM172A,ENSG00000113391,83989,protein_coding,target
POU5F2,ENSG00000248483,134187,protein_coding,target
KIAA0825,ENSG00000185261,285600,protein_coding,target
SLF1,ENSG00000133302,84250,protein_coding,target
MCTP1,ENSG00000175471,79772,protein_coding,target
FAM81B,ENSG00000153347,153643,protein_coding,target
TTC37,ENSG00000198677,9652,protein_coding,target
ARSK,ENSG00000164291,153642,protein_coding,target
GPR150,ENSG00000178015,285601,protein_coding,target
RFESD,ENSG00000175449,317671,protein_coding,target
SPATA9,ENSG00000145757,83890,protein_coding,target
RHOBTB3,ENSG00000164292,22836,protein_coding,target
GLRX,ENSG00000173221,2745,protein_coding,landmark
ELL2,ENSG00000118985,22936,protein_coding,target
PCSK1,ENSG00000175426,5122,protein_coding,target
CAST,ENSG00000153113,831,protein_coding,landmark
ERAP1,ENSG00000164307,51752,protein_coding,target
ERAP2,ENSG00000164308,64167,protein_coding,target
LNPEP,ENSG00000113441,4012,protein_coding,target
LIX1,ENSG00000145721,167410,protein_coding,target
RIOK2,ENSG00000058729,55781,protein_coding,target
RGMB,ENSG00000174136,285704,protein_coding,target
CHD1,ENSG00000153922,1105,protein_coding,target
FAM174A,ENSG00000174132,345757,protein_coding,target
ST8SIA4,ENSG00000113532,7903,protein_coding,target
SLCO4C1,ENSG00000173930,353189,protein_coding,target
SLCO6A1,ENSG00000205359,133482,protein_coding,target
PAM,ENSG00000145730,5066,protein_coding,target
GIN1,ENSG00000145723,54826,protein_coding,target
PPIP5K2,ENSG00000145725,23262,protein_coding,target
C5orf30,ENSG00000181751,90355,protein_coding,target
NUDT12,ENSG00000112874,83594,protein_coding,target
EFNA5,ENSG00000184349,1946,protein_coding,target
FBXL17,ENSG00000145743,64839,protein_coding,target
FER,ENSG00000151422,2241,protein_coding,target
PJA2,ENSG00000198961,9867,protein_coding,target
MAN2A1,ENSG00000112893,4124,protein_coding,target
TMEM232,ENSG00000186952,642987,protein_coding,target
SLC25A46,ENSG00000164209,91137,protein_coding,landmark
TSLP,ENSG00000145777,85480,protein_coding,target
WDR36,ENSG00000134987,134430,protein_coding,target
CAMK4,ENSG00000152495,814,protein_coding,target
STARD4,ENSG00000164211,134429,protein_coding,target
NREP,ENSG00000134986,9315,protein_coding,target
EPB41L4A,ENSG00000129595,64097,protein_coding,target
APC,ENSG00000134982,324,protein_coding,target
SRP19,ENSG00000153037,6728,protein_coding,target
REEP5,ENSG00000129625,7905,protein_coding,landmark
DCP2,ENSG00000172795,167227,protein_coding,target
MCC,ENSG00000171444,4163,protein_coding,target
TSSK1B,ENSG00000212122,83942,protein_coding,target
YTHDC2,ENSG00000047188,64848,protein_coding,target
KCNN2,ENSG00000080709,3781,protein_coding,target
TRIM36,ENSG00000152503,55521,protein_coding,target
